Date,CUSIP,NAV Growth,Dividend Growth,Total Return
2012-09-30,RBS201,0,0.008438819,0.008438819
2012-12-30,RBS201,0,0.008438819,0.008438819
2013-03-30,RBS201,0.006751055,0.010058676,0.016877637
2013-06-30,RBS201,0.049455155,0.009584665,0.059513831
2013-09-30,RBS201,-0.024760383,0.00982801,-0.015175719
2013-12-30,RBS201,0.008190008,0.009748172,0.018018018
2014-03-30,RBS201,0.027619821,0.009486166,0.037367994
2014-06-30,RBS201,0.008750988,0.009403873,0.018237154
2014-09-30,RBS201,0.044684069,0.009001643,0.054087942
2014-12-30,RBS201,0.00471086,0.008959436,0.013712503
2015-03-30,RBS201,0.066979251,0.008397011,0.075938688
2015-06-30,RBS201,0.036149131,0.009117063,0.045595768
2015-09-30,RBS201,0.058659859,0.008611891,0.067776922
2015-12-30,RBS201,0.031219699,0.009279078,0.040788466
2016-03-30,RBS201,-0.014704245,0.012870659,-0.002022839
2016-06-30,RBS201,0.025044419,0.012556197,0.037915079
2016-09-30,RBS201,0.036278221,0.012116627,0.048834417
2016-12-30,RBS201,0.025900029,0.011810729,0.038016656
2017-03-30,RBS201,-0.008826359,0.011915903,0.00298437
2017-06-30,RBS201,0.007073977,0.012697973,0.019861776
2017-09-30,RBS201,-8.66E-05,0.012699072,0.012611396
2017-12-30,RBS201,0.045635848,0.012144833,0.058334921
2018-03-30,RBS201,0.026221798,0.011834511,0.03836663
2018-06-30,RBS201,0.005153391,0.011773835,0.016987902
2018-09-30,RBS201,0.019897782,0.011544133,0.031671617
2018-12-30,RBS201,0.039916462,0.011101019,0.051460595
2019-03-30,RBS201,0.03142093,0.010762841,0.04252195
2019-06-30,RBS201,-0.003644689,0.010802212,0.007118152
2019-09-30,RBS201,0.029652071,0.010491128,0.040454282
2019-12-30,RBS201,0.000972814,0.010480932,0.011463942
2020-03-30,RBS201,-0.05822634,0.011128929,-0.047745409
2020-06-30,RBS201,0.001274768,0.01111476,0.012403697
2020-09-30,RBS201,0.039437189,0.010693056,0.050551949
2020-12-31,RBS201,0,0.0058,0.0058
2021-03-31,RBS201,0.0325,0.0325,0.065
2021-06-30,RBS201,0.0325,0.0325,0.065
2021-09-30,RBS201,0.0325,0.0325,0.065
2021-12-31,RBS201,0.0325,0.0325,0.065
2022-03-31,RBS201,0.00095,0.00095,0.0019
2022-06-30,RBS201,0.00095,0.00095,0.0019
2022-09-30,RBS201,0.00095,0.00095,0.0019
2022-12-31,RBS201,0.00095,0.00095,0.0019
